issn;e_issn;title;short_title
0001-6136;;Acta medica veterinaria;Acta Med Vet
0001-6187;;Acta microbiologica Academiae Scientiarum Hungaricae;Acta Microbiol Acad Sci Hung
0204-8809;;Acta microbiologica Bulgarica;Acta Microbiol Bulg
0137-1320;;Acta microbiologica Polonica;Acta Microbiol
0567-7815;;Acta microbiologica Polonica;Acta Microbiol Pol A
0567-7823;;Acta microbiologica Polonica;Acta Microbiol Pol B
0001-6217;;Acta morphologica Academiae Scientiarum Hungaricae;Acta Morphol Acad Sci Hung
0324-0452;;Acta microbiologica;Acta Microbiol Virol Immunol
0236-5391;;Acta morphologica Hungarica;Acta Morphol Hung
0001-6225;;Acta morphologica Neerlando;Acta Morphol Neerl Scand
0065-1400;1689-0035;Acta neurobiologiae experimentalis;Acta Neurobiol Exp
0001-6268;0942-0940;Acta neurochirurgica;Acta Neurochir
0001-6276;;Acta neurologica;Acta Neurol
0250-4642;;Acta rhumatologica;Acta Rhumatol
0001-5938;;Acta leprologica;Acta Leprol
0231-4622;;Acta microbiologica Hungarica;Acta Microbiol
0300-9009;2240-2993;Acta neurologica Belgica;Acta Neurol Belg
0001-6306;;Acta neurologica latinoamericana;Acta Neurol Latinoam
0515-2976;;Acta neurologica;Acta Neurol Quad
0001-6314;1600-0404;Acta neurologica Scandinavica;Acta Neurol
0065-1427;1600-5449;Acta neurologica Scandinavica;Acta Neurol
0001-6322;1432-0533;Acta neuropathologica;Acta Neuropathol
0065-1435;;Acta neuropathologica;Acta Neuropathol Suppl
0375-9245;;Acta neurovegetativa;Acta Neuroveg
0210-9832;;Acta obstetrica y ginecologica hispano;Acta Obstet Ginecol Hisp Lusit
0300-8940;;Acta obstetrica y ginecologica hispano;Acta Obstet Ginecol Hisp Lusit Suppl
0001-6330;;Acta obstetrica et gynaecologica Japonica;Acta Obstet Gynaecol Jpn
0001-6349;1600-0412;Acta obstetricia et gynecologica Scandinavica;Acta Obstet Gynecol Scand
0300-8835;;Acta obstetricia et gynecologica Scandinavica;Acta Obstet Gynecol Scand Suppl
0001-6357;1502-3850;Acta odontologica Scandinavica;Acta Odontol
0365-530X;;Acta odontologica Scandinavica;Acta Odontol Scand Suppl
0001-6365;;Acta odontologica venezolana;Acta Odontol Venez
0001-6381;;Acta oncologica;Acta Oncol
0001-639X;;Acta ophthalmologica;Acta Ophthalmol
0065-1451;;Acta ophthalmologica;Acta Ophthalmol
0001-6462;;Acta orthopaedica Belgica;Acta Orthop Belg
0001-6470;;Acta orthopaedica Scandinavica;Acta Orthop Scand
0300-8827;;Acta orthopaedica Scandinavica;Acta Orthop Scand Suppl
0001-6489;1651-2251;Acta oto;Acta Otolaryngol
0365-5237;;Acta oto;Acta Otolaryngol Suppl
0001-6497;;Acta oto;Acta Otorhinolaryngol Belg
0392-100X;1827-675X;Acta otorhinolaryngologica Italica;Acta Otorhinolaryngol Ital
0001-6500;;Acta oto;Acta Otorinolaryngol Iber Am
0001-6527;;Acta paediatrica Academiae Scientiarum Hungaricae;Acta Paediatr Acad Sci Hung
0001-6535;;Acta paediatrica Belgica;Acta Paediatr Belg
0001-6543;;Nihon Shonika Gakkai zasshi;Nihon Shonika Gakkai Zasshi
0374-5600;;Acta paediatrica Japonica;Acta Paediatr Jpn
0001-656X;;Acta paediatrica Scandinavica;Acta Paediatr Scand
0300-8843;;Acta paediatrica Scandinavica;Acta Paediatr Scand Suppl
0001-6578;;Zhonghua Minguo xiao er ke yi xue hui za zhi;Zhonghua Min Guo Xiao Er Ke Yi Xue Hui Za Zhi
0001-6586;;Acta paedopsychiatrica;Acta Paedopsychiatr
0080-9012;;Series paedopsychiatrica;Ser Paedopsychiatr
0001-6632;;Acta pathologica japonica;Acta Pathol
0365-5555;;Acta pathologica et microbiologica Scandinavica;Acta Pathol Microbiol Scand
0365-4184;;Acta pathologica et microbiologica Scandinavica;Acta Pathol Microbiol Scand A
0105-0656;;Acta pathologica et microbiologica Scandinavica;Acta Pathol Microbiol Scand B
0304-1328;;Acta pathologica et microbiologica Scandinavica;Acta Pathol Microbiol Scand C
0108-0172;;Acta pathologica;Acta Pathol Microbiol Immunol Scand Suppl
0001-6640;2014-2986;Acta pediatrica espanola;Acta Pediatr Esp
0108-0164;;Acta pathologica;Acta Pathol Microbiol Immunol Scand A
0108-0180;;Acta pathologica;Acta Pathol Microbiol Immunol Scand B
0108-0202;;Acta pathologica;Acta Pathol Microbiol Immunol Scand C
0001-6659;;Acta pharmaceutica Hungarica;Acta Pharm Hung
0253-9756;;Zhongguo yao li xue bao;Zhongguo Yao Li Xue Bao
0513-4870;;Yao xue xue bao;Yao Xue Xue Bao
0001-6675;;Acta pharmaceutica Suecica;Acta Pharm
0001-6683;;Acta pharmacologica et toxicologica;Acta Pharmacol Toxicol
0001-6756;;Acta physiologica Academiae Scientiarum Hungaricae;Acta Physiol Acad Sci Hung
0231-424X;;Acta physiologica Hungarica;Acta Physiol Hung
0001-6764;;Acta physiologica latino americana;Acta Physiol Lat Am
0323-9950;;Acta physiologica et pharmacologica Bulgarica;Acta Physiol Pharmacol Bulg
0326-6656;;Acta physiologica et pharmacologica latinoamericana;Acta Physiol Pharmacol Latinoam
0001-6748;;Acta physiologica et pharmacologica Neerlandica;Acta Physiol Pharmacol Neerl
0044-6033;;Acta physiologica Polonica;Acta Physiol Pol
0001-6772;1365-201X;Acta physiologica Scandinavica;Acta Physiol
0302-2994;;Acta physiologica Scandinavica;Acta Physiol Scand Suppl
0001-6837;;Acta poloniae pharmaceutica;Acta Pol Pharm
0001-6896;;Acta psiquiatrica y psicologica de America latina;Acta Psiquiatr Psicol Am Lat
0300-8967;;Acta psychiatrica Belgica;Acta Psychiatr Belg
0001-690X;1600-0447;Acta psychiatrica Scandinavica;Acta Psychiatr Scand
0065-1591;1600-5473;Acta psychiatrica Scandinavica;Acta Psychiatr Scand Suppl
0001-6918;1873-6297;Acta psychologica;Acta Psychol
0378-9497;;Acta rhumatologica Belgica;Acta Rhumatol Belg
0567-8056;;Acta radiologica;Acta Radiol Diagn
0365-5954;;Acta radiologica;Acta Radiol Suppl
0567-8064;;Acta radiologica;Acta Radiol Ther Phys Biol
0348-5196;;Acta radiologica;Acta Radiol Oncol Radiat Phys Biol
0349-652X;;Acta radiologica;Acta Radiol Oncol
0044-6025;1735-9694;Acta medica Iranica;Acta Med Iran
0001-6934;;Acta rheumatologica Scandinavica;Acta Rheumatol Scand
0001-6950;;Acta Scholae Medicinalis Universitatis in Kioto;Acta Sch Med Univ Kioto
0001-6985;;Acta Societatis Medicorum Upsaliensis;Acta Soc Med Ups
0255-4410;;Acta stomatologica internationalia;Acta Stomatol Int
0029-0203;;Nippon Ganka Gakkai zasshi;Nippon Ganka Gakkai Zasshi
0044-6041;;Acta socio;Acta Sociomed Scand
0001-7000;;Acta stomatologica Belgica;Acta Stomatol Belg
0001-7019;;Acta stomatologica Croatica;Acta Stomatol Croat
0001-7051;2190-3743;Acta theriologica;Acta Theriol
0001-706X;1873-6254;Acta tropica;Acta Trop
0365-1541;;Acta tropica;Acta Trop Suppl
0001-7078;;Acta tuberculosea et pneumologica Belgica;Acta Tuberc Pneumol Belg
0567-8161;;Acta tuberculosea Japonica;Acta Tuberc Jpn
0365-7531;;Acta tuberculosea et pneumologica Scandinavica;Acta Tuberc Pneumol Scand
0001-7116;;Acta Universitatis Carolinae;Acta Univ Carol Med
0567-8250;;Acta Universitatis Carolinae;Acta Univ Carol Med Monogr
0001-7183;;Acta urologica Belgica;Acta Urol Belg
0018-1994;;Hinyokika kiyo;Hinyokika Kiyo
0001-7205;;Acta veterinaria Academiae Scientiarum Hungaricae;Acta Vet Acad Sci Hung
0236-6290;;Acta veterinaria Hungarica;Acta Vet
0044-605X;1751-0147;Acta veterinaria Scandinavica;Acta Vet
0065-1699;;Acta veterinaria Scandinavica;Acta Vet Scand Suppl
0001-723X;1336-2305;Acta virologica;Acta Virol
0300-8924;;Acta vitaminologica et enzymologica;Acta Vitaminol
0001-7280;;Acta zoologica et pathologica Antverpiensia;Acta Zool Pathol Antverp
0331-0175;;The African journal of psychiatry;Afr J Psychiatry
0001-7310;1578-2190;Actas dermo;Actas Dermosifiliogr
0210-4806;1699-7980;Actas urologicas espanolas;Actas Urol Esp
0301-2514;;Acta Universitatis Palackianae Olomucensis Facultatis Medicae;Acta Univ Palacki Olomuc Fac Med
0300-5062;;Actas luso;Actas Luso Esp Neurol Psiquiatr Cienc Afines
0001-7329;;Actas luso;Actas Luso Esp Neurol Psiquiatr
0365-1045;;Actualites cardiologiques et angeiologiques internationales;Actual Cardiol Angeiol Int
0065-1826;;Actualites endocrinologiques;Actual Endocrinol
0240-8007;;Actualites hepato;Actual Hepatogastroenterol
0567-882X;;Actualites neurophysiologiques;Actual Neurophysiol
0001-7817;1760-611X;Actualites odonto;Actual Odontostomatol
0001-7671;;Actualidad pediatrica;Actual Pediatr
0567-8854;;Actualites pharmacologiques;Actual Pharmacol
0360-1293;;Acupuncture;Acupunct Electrother Res
0567-8714;;Actualites de physiologie pathologique;Actual Physiol Pathol
0306-4603;1873-6327;Addictive behaviors;Addict Behav
0147-3956;1933-3889;Advance data;Adv Data
0364-3107;1544-4376;Administration in social work;Adm Soc Work
0094-0267;;Addictive diseases;Addict Dis
0001-8392;;Administrative science quarterly;Adm Sci Q
0001-8449;;Adolescence;Adolescence
0001-8481;;Adult education;Adult Educ
0301-5556;;Advances in anatomy;Adv Anat Embryol Cell Biol
0065-2164;;Advances in applied microbiology;Adv
0090-1180;;Administration in mental health;Adm Ment Health
0065-2229;;Advances in biochemical psychopharmacology;Adv
0065-2245;;Advances in biological and medical physics;Adv Biol Med Phys
0148-2165;;Lifelong learning;Lifelong Learn Adult Years
0724-6145;1616-8542;Advances in biochemical engineering;Adv
0065-2253;;Advances in biology of skin;Adv Biol Skin
0065-2261;;Advances in biomedical engineering and medical physics;Adv Biomed Eng Med Phys
0065-227X;1873-4618;Advances in biophysics;Adv
0065-230X;;Advances in cancer research;Adv
0065-2318;;Advances in carbohydrate chemistry and biochemistry;Adv Carbohydr Chem Biochem
0065-2326;1662-2839;Advances in cardiology;Adv Cardiol
0065-2334;;Advances in cardiopulmonary diseases;Adv Cardiopulm Dis
0065-2369;;Advances in cell biology;Adv Cell Biol
0567-9877;;Advances in chemotherapy;Adv Chemother
0065-2407;;Advances in child development and behavior;Adv Child Dev Behav
0267-4874;;Advances in contraception;Adv Contracept
0065-2415;;Advances in chromatography;Adv Chromatogr
0065-2423;;Advances in clinical chemistry;Adv Clin Chem
0303-2671;;Advances in clinical pharmacology;Adv Clin Pharmacol
0065-244X;;Advances in comparative physiology and biochemistry;Adv Comp Physiol Biochem
0747-7767;;Advances in cyclic nucleotide and protein phosphorylation research;Adv Cyclic Nucleotide Protein Phosphorylation Res
0084-5930;;Advances in cyclic nucleotide research;Adv Cyclic Nucleotide Res
0084-5949;;Advances in cytopharmacology;Adv Cytopharmacol
0065-2490;;Advances in drug research;Adv Drug Res
0065-2571;1873-2437;Advances in enzyme regulation;Adv
0065-2598;;Advances in experimental medicine and biology;Adv
0567-994X;;Advances in fluorine research and dental caries prevention;Adv Fluorine Res
0731-2199;;Advances in health economics and health services research;Adv Health Econ Health Serv Res
0044-6173;;Aktuelle Traumatologie;Aktuelle Traumatol
0065-2628;;Advances in food research;Adv Food Res
0178-2134;;Advances in immunity and cancer therapy;Adv Immun Cancer Ther
0065-2660;;Advances in genetics;Adv
0065-2709;;Advances in gerontological research;Adv Gerontol Res
0149-9483;;Advances in nutritional research;Adv Nutr Res
0065-2725;;Advances in heterocyclic chemistry;Adv Heterocycl Chem
0065-275X;;Advances in human genetics;Adv
0065-2776;1557-8445;Advances in immunology;Adv
0190-0218;;Advances in inorganic biochemistry;Adv
0065-2822;;Advances in internal medicine;Adv Intern Med
0065-2849;;Advances in lipid research;Adv
0065-2903;;Advances in metabolic disorders;Adv Metab Disord
0065-2911;;Advances in microbial physiology;Adv
0084-5957;;Advances in nephrology from the Necker Hospital;Adv
0065-2962;;Advances in morphogenesis;Adv Morphog
0091-3952;;Advances in neurology;Adv Neurol
0001-8724;;Shinkei kenkyu no shimpo;Shinkei Kenkyu No Shimpo
0270-3106;;Advances in alcohol;Adv Alcohol Subst Abuse
0065-3004;;Advances in ophthalmology;Adv Ophthalmol
0065-3020;;Advances in oral biology;Adv Oral Biol
0065-3071;1662-2847;Advances in oto;Adv
0361-5952;;Advances in prostaglandin and thromboxane research;Adv Prostaglandin Thromboxane Res
0065-308X;;Advances in parasitology;Adv
0099-1147;;Advances in pathobiology;Adv Pathobiol
0065-3101;1878-1926;Advances in pediatrics;Adv Pediatr
0568-0107;;Advances in pest control research;Adv Pest Control Res
0065-3136;;Advances in pharmaceutical sciences;Adv Pharm Sci
0065-3144;;Advances in pharmacology and chemotherapy;Adv Pharmacol Chemother
0260-647X;;Adverse drug reactions and acute poisoning reviews;Adverse Drug React Acute Poisoning Rev
0065-3233;1557-8941;Advances in protein chemistry;Adv
0732-8141;;Advances in prostaglandin;Adv
0065-3241;;Advances in psychobiology;Adv Psychobiol
0065-3268;1662-2855;Advances in psychosomatic medicine;Adv Psychosom Med
0001-866X;;Advancement of science;Adv Sci
0065-339X;;Advances in steroid biochemistry and pharmacology;Adv Steroid Biochem Pharmacol
0065-3411;;Advances in surgery;Adv Surg
0065-3322;;Advances in reproductive physiology;Adv Reprod Physiol
0065-3497;;Advances in tracer methodology;Adv Tracer Methodol
0098-0137;;Advances in sex hormone research;Adv Sex Horm Res
0092-9816;;Advances in socio;Adv Sociodent Res
0065-3500;;Advances in tuberculosis research;Adv Tuberc Res
0065-3519;;Advances in veterinary science and comparative medicine;Adv Vet Sci Comp Med
0195-878X;;Advances in shock research;Adv Shock Res
0065-3527;1557-8399;Advances in virus research;Adv
0065-3683;;Aeromedical reviews;Aeromed Rev
0001-9402;;Aerospace medicine;Aerosp Med
0001-9496;;Arztliche Forschung;Arztl Forsch
0001-9518;;Arztliche Jugendkunde;Arztl Jugendkd
0400-6755;;Asthetische Medizin;Asthet Med
0364-216X;1432-5241;Aesthetic plastic surgery;Aesthetic Plast Surg
0149-2489;;The AFL;AFL CIO Am Fed
0002-0028;;The African journal of medical sciences;Afr J Med Sci
0194-455X;;Aging;Aging Leis Living
0002-0729;1468-2834;Age and ageing;Age Ageing
0002-0966;;Aging;Aging
0065-4299;;Agents and actions;Agents Actions
0002-0907;;Aggiornamenti clinicoterapeutici;Aggiorn Clinico Ter
0379-0363;;Agents and actions;Agents Actions Suppl
0944-9175;;Die Agnes Karll;Agnes Karll Schwest Krankenpfleger
0002-1148;;Agressologie;Agressologie
0044-6912;;Aichi Gakuin Daigaku Shigakkai shi;Aichi Gakuin Daigaku Shigakkai Shi
0568-3408;;Air and water pollution;Air Water Pollut
0300-5704;;Aktuelle Gerontologie;Aktuelle Gerontol
0065-5570;;Aktuelle Oto;Aktuelle Otorhinolaryngol
0196-0709;1532-818X;American journal of otolaryngology;Am J Otolaryngol
0065-5589;;Aktuelle Probleme in der Chirurgie;Aktuelle Probl Chir
0378-8504;;Aktuelle Probleme in Chirurgie und Orthopadie;Aktuelle Probl Chir Orthop
0065-2008;;Adolescent psychiatry;Adolesc Psychiatry
0002-3906;;Akusherstvo i ginekologiia;Akush Ginekol
0324-0959;;Akusherstvo i ginekologiia;Akush Ginekol
0002-4252;;The Alabama journal of medical sciences;Ala J Med Sci
0387-7604;1872-7131;Brain;Brain Dev
0002-4317;;The Alabama nurse;Ala Nurse
0279-9529;;American College of Physicians observer;Am Coll Physicians Obs
0098-3764;;Bulletin;Bull Alameda Cty Dent Soc
0192-8562;;The American journal of pediatric hematology;Am J Pediatr Hematol Oncol
0002-4538;;Alaska medicine;Alaska Med
0193-1091;1533-0311;The American Journal of dermatopathology;Am J Dermatopathol
0002-4546;;The Alaska nurse;Alaska Nurse
0145-6008;1530-0277;Alcoholism;Alcohol
0065-6100;;Albrecht von Graefes Archiv fur klinische und experimentelle Ophthalmologie;Albrecht Von Graefes Arch Klin Exp Ophthalmol
1110-015X;;Alexandria dental journal;Alex Dent J
0065-6267;;L;Aliment Vie
0160-9963;;Applied radiology;Appl Radiol
0375-8443;;Allergie und Asthma;Allerg Asthma
0105-4538;1398-9995;Allergy;Allergy
0516-7132;;Allergie;Allerg Asthmaforsch
0323-4398;;Allergie und Immunologie;Allerg Immunol
0190-0331;;Allied health and behavioral sciences;Allied Health Behav Sci
0090-7782;;AHME journal;AHME J
0361-803X;1546-3141;AJR;AJR Am J Roentgenol
0001-1479;;AIA journal;AIA J
0195-6108;1936-959X;AJNR;AJNR Am J Neuroradiol
0301-0546;1578-1267;Allergologia et immunopathologia;Allergol Immunopathol
0090-838X;;Alcohol health and research world;Alcohol Health Res World
0738-4947;;Alabama medicine;Ala Med
0065-6445;;The Alma mater;Alma Mater
0002-6417;;The Alpha omegan;Alpha Omegan
0084-6252;;Altern und Entwicklung;Altern Entwickl Aging Dev
0002-6700;;The Alumnae magazine;Alumnae Mag
0069-634X;;Alumnae magazine;Alumnae Mag Columbia Univ Presbyt Hosp Sch Nurs Alumnae Assoc
0073-7119;;Alumni bulletin;Alumni Bull Sch Dent Indiana Univ
0887-4387;;Alumni bulletin;Alumni Bull Univ Mich Sch Dent
0898-4093;;Alumni magazine;Alumni Mag Columbia Univ Presbyt Hosp Sch Nurs Alumni Assoc
0002-7642;;The American behavioral scientist;Am Behav Sci
0002-726X;;American annals of the deaf;Am Ann Deaf
0002-7324;;American archives of rehabilitation therapy;Am Arch Rehabil Ther
0098-6097;;American Association of Industrial Nurses journal;Am Assoc Ind Nurses J
0002-8088;;American corrective therapy journal;Am Correct Ther J
0002-838X;1532-0650;American family physician;Am Fam Physician
0002-8703;1097-6744;American heart journal;Am
0160-3450;;American pharmacy;Am Pharm
0362-4048;;American rehabilitation;Am Rehabil
0065-860X;1085-7931;The American imago;Am Imago
0007-4764;;American journal of art therapy;Am J Art Ther
0002-8894;;American Industrial Hygiene Association journal;Am Ind Hyg Assoc J
0002-8304;;American education;Am Educ
0098-6119;;Annual meeting;Annu Meet Am Inst Oral Biol
0002-9106;;The American journal of anatomy;Am
0002-9122;1537-2197;American journal of botany;Am
0002-9149;1879-1913;The American journal of cardiology;Am
0090-2942;;The American journal of Chinese medicine;Am J Chin Med
0192-415X;;The American journal of Chinese medicine;Am
0002-9157;2160-0562;The American journal of clinical hypnosis;Am J Clin Hypn
0002-9165;1938-3207;The American journal of clinical nutrition;Am
0277-3732;1537-453X;American journal of clinical oncology;Am
0002-9173;1943-7722;American journal of clinical pathology;Am
0091-0562;1573-2770;American journal of community psychology;Am J Community Psychol
0889-5406;1097-6752;American journal of orthodontics and dentofacial orthopedics;Am J Orthod Dentofacial Orthop
0002-9211;;The American journal of digestive diseases;Am J Dig Dis
0002-9246;;American journal of economics and sociology;Am J Econ Sociol
0002-922X;2374-3018;American journal of diseases of children;Am
0095-2990;1097-9891;The American journal of drug and alcohol abuse;Am J Drug Alcohol Abuse
0002-9262;1476-6256;American journal of epidemiology;Am
0361-8609;1096-8652;American journal of hematology;Am
0272-6386;1523-6838;American journal of kidney diseases;Am
0363-7719;;American journal of health planning;Am J Health Plann
0195-7910;1533-404X;The American journal of forensic medicine and pathology;Am J Forensic Med Pathol
0002-9270;1572-0241;The American journal of gastroenterology;Am
0002-9289;;American journal of hospital pharmacy;Am J Hosp Pharm
0002-9297;1537-6605;American journal of human genetics;Am
0271-3586;1097-0274;American journal of industrial medicine;Am
0098-8588;;American journal of law;Am J Law Med
0002-9343;1555-7162;The American journal of medicine;Am
0096-5286;;The American journal of medical electronics;Am J Med Electron
0002-9629;1538-2990;The American journal of the medical sciences;Am
0148-7299;1096-8628;American journal of medical genetics;Am
0002-9335;;The American journal of medical technology;Am J Med Technol
0002-9351;;American journal of mental deficiency;Am J Ment Defic
0250-8095;1421-9670;American journal of nephrology;Am
0002-936X;1538-7488;The American journal of nursing;Am J Nurs
0002-9378;1097-6868;American journal of obstetrics and gynecology;Am
0272-9490;1943-7676;The American journal of occupational therapy;Am J Occup Ther
0002-9394;1879-1891;American journal of ophthalmology;Am
0002-9408;;American journal of optometry and archives of American Academy of Optometry;Am J Optom Arch Am Acad Optom
0093-7002;;American journal of optometry and physiological optics;Am J Optom Physiol Opt
0002-9416;;American journal of orthodontics;Am J Orthod
0065-9002;;The American journal of orthopedic surgery;Am J Orthop Surg
0002-9432;1939-0025;The American journal of orthopsychiatry;Am J Orthopsychiatry
0192-9763;;The American journal of otology;Am J Otol
0002-9459;1553-6467;American journal of pharmaceutical education;Am J Pharm Educ
0002-9440;1525-2191;The American journal of pathology;Am
0002-9467;;American journal of pharmacy and the sciences supporting public health;Am J Pharm Sci Support Public Health
0002-9483;1096-8644;American journal of physical anthropology;Am
0002-9491;;American journal of physical medicine;Am J Phys Med
0002-9513;;The American journal of physiology;Am
0569-6054;;American journal of practical nursing;Am J Pract Nurs
0002-9521;;American journal of proctology;Am J Proctol
0162-6566;;American journal of proctology;Am J Proctol Gastroenterol Colon Rectal Surg
0002-953X;1535-7228;The American journal of psychiatry;Am J Psychiatry
0002-9548;1573-6741;American journal of psychoanalysis;Am J Psychoanal
0002-9556;1939-8298;The American journal of psychology;Am J Psychol
0002-9564;;American journal of psychotherapy;Am J Psychother
0090-0036;1541-0048;American journal of public health;Am J Public Health
8755-8920;;American journal of reproductive immunology and microbiology;Am J Reprod Immunol Microbiol
0002-9580;;The American journal of roentgenology;Am J Roentgenol Radium Ther Nucl Med
