issn;e_issn;title;short_title;period;publisher
0378-0864;;ABHANDLUNGEN DER GEOLOGISCHEN BUNDESANSTALT-VIENNA;;Irregular;GEOLOGISCHE BUNDESANSTALT, RASUMOFSKYGASSE 23, VIENNA, AUSTRIA, A-1031
1868-0356;;ABHANDLUNGEN DER SENCKENBERG GESELLSCHAFT FUR NATURFORSCHUNG;;Irregular;E SCHWEIZERBARTSCHE VERLAGSBUCHHANDLUNG, NAEGELE U OBERMILLER, SCIENCE PUBLISHERS, JOHANNESSTRASSE 3A, STUTTGART, GERMANY, D 70176
0084-5639;;ABHANDLUNGEN DER ZOOLOGISCH-BOTANISCHEN GESELLSCHAFT IN OESTERREICH;;Irregular;ZOOLOGISCH-BOTANISCHE GESELLSCHAFT IN OESTERREICH, ALTHANSTRASSE 14, VIENNA, AUSTRIA
0340-3718;;ABHANDLUNGEN NATURWISSENSCHAFTLICHEN VEREIN ZU BREMEN;;Irregular;NATURWISSENSCHAFTLICHER VEREIN ZU BREMEN, UEBERSEE-MUSEUM, BAHNHOFSPLATZ 13, BREMEN, GERMANY
0947-1057;;ABHANDLUNGEN UND BERICHTE AUS DEM MUSEUM HEINEANUM;;Irregular;MUSEUM HEINEANUM, DOMPLATZ 37, HALBERSTADT, GERMANY, D-38820
0138-1857;;ABHANDLUNGEN UND BERICHTE DES MUSEUMS DER NATUR GOTHA;;Irregular;MUSEUM NATUR GOTHA, PARKALLEE 15, GOTHA, GERMANY, 99867
0373-7586;;ABHANDLUNGEN UND BERICHTE DES NATURKUNDEMUSEUMS GOERLITZ;;Semiannual;STAATLICHES MUSEUM NATURKUNDE GOERLITZ, PF 30 01 54, GOERLITZ, GERMANY, D-02806
0945-7658;;ABHANDLUNGEN UND BERICHTE FUER NATURKUNDE;;Annual;MUSEUM NATURKUNDE, OTTO-VON-GUERICKE-STRASSE 68-73, MAGDEBURG, GERMANY, D-39104
0065-7727;;ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY;;Semiannual;AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, USA, DC, 20036
1060-2011;;ABSTRACTS OF THE GENERAL MEETING OF THE AMERICAN SOCIETY FOR MICROBIOLOGY;ABSTR GEN MEET AM SOC MICROBIOL;Annual;AMER SOC MICROBIOLOGY, 1752 N ST NW, WASHINGTON, USA, DC, 20036-2904
0733-6373;;ABSTRACTS OF THE INTERSCIENCE CONFERENCE ON ANTIMICROBIAL AGENTS AND CHEMOTHERAPY;;Annual;AMER SOC MICROBIOLOGY, 1752 N ST NW, WASHINGTON, USA, DC, 20036-2904
0325-3406;;ACADEMIA NACIONAL DE CIENCIAS-CORDOBA ARGENTINA-MISCELANEA;;Irregular;ACAD NACIONAL CIENCIAS, AVDA. VELEZ SARSFIELD 229-249, CASILLA DE CORREO 36, CORDOBA, ARGENTINA, 00000
1012-8255;;ACADEMIA-REVISTA LATINOAMERICANA DE ADMINISTRACION;;Tri-annual;EMERALD GROUP PUBLISHING LIMITED, HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA
1069-6563;1553-2712;ACADEMIC EMERGENCY MEDICINE;ACAD EMERG MED;Monthly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
1995-8994;;ACADEMIC JOURNAL OF ENTOMOLOGY;;Tri-annual;INT DIGITAL ORGANIZATION SCIENTIFIC INFORMATION-IDOSI, PO BOX 40468, DEIRA, U ARAB EMIRATES, DUBAI, 00000
1040-2446;1938-808X;ACADEMIC MEDICINE;ACAD MED;Monthly;LIPPINCOTT WILLIAMS & WILKINS, TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103
1876-2859;1876-2867;ACADEMIC PEDIATRICS;ACAD PEDIATR;Bimonthly;ELSEVIER SCIENCE INC, 360 PARK AVE SOUTH, NEW YORK, USA, NY, 10010-1710
1042-9670;1545-7230;ACADEMIC PSYCHIATRY;ACAD PSYCHIATRY;Bimonthly;SPRINGER, 233 SPRING ST, NEW YORK, USA, NY, 10013
1076-6332;1878-4046;ACADEMIC RADIOLOGY;ACAD RADIOL;Monthly;ELSEVIER SCIENCE INC, 360 PARK AVE SOUTH, NEW YORK, USA, NY, 10010-1710
0387-6055;;ACADEMIC REPORTS TOKYO POLYTECHNIC UNIVERSITY FACULTY OF ENGINEERING;;Annual;TOKYO POLYTECHNIC UNIV, 1583 IIYAMA, ATSUGI, KANAGAWA, JAPAN, 243-0297
0001-4176;;ACADEMIE ROYALE DES SCIENCES D OUTRE-MER BULLETIN DES SEANCES;BULL SEANCES ACAD R SCI OUTRE MER;Quarterly;ACAD ROYAL SCI, RUE DEFACQZ 1 BOITE 3, BRUSSELS, BELGIUM, B-1000
0379-1920;;ACADEMIE ROYALE DES SCIENCES D OUTRE-MER MEMOIRES CLASSE DES SCIENCES NATURELLES ET MEDICALES;;Quarterly;ACAD ROYAL SCI, RUE DEFACQZ 1 BOITE 3, BRUSSELS, BELGIUM, B-1000
0352-5740;;ACADEMIE SERBE DES SCIENCES ET DES ARTS-BULLETIN CLASSE DES SCIENCES MATHEMATIQUES ET NATURELLES;;Semiannual;SRPSKA AKAD NAUKA I UMETNOSTI, KNEZ MIHAILOVA ULICA 35, P O BOX 366, BELGRADE, SERBIA MONTENEG, 00000
1941-6520;1941-6067;ACADEMY OF MANAGEMENT ANNALS;ACAD MANAG ANN;Annual;ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD, 4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXFORDSHIRE, OX14 4RN
0001-4273;1948-0989;ACADEMY OF MANAGEMENT JOURNAL;ACAD MANAGE J;Bimonthly;ACAD MANAGEMENT, PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020
1537-260X;;ACADEMY OF MANAGEMENT LEARNING & EDUCATION;;Quarterly;ACAD MANAGEMENT, PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020
1558-9080;;ACADEMY OF MANAGEMENT PERSPECTIVES;;Quarterly;ACAD MANAGEMENT, PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020
0363-7425;1930-3807;ACADEMY OF MANAGEMENT REVIEW;ACAD MANAGE REV;Quarterly;ACAD MANAGEMENT, PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020
0044-5851;;ACADIENSIS;ACADIENSIS;Semiannual;UNIV NEW BRUNSWICK, DEPT HISTORY, FREDERICTON, CANADA, NB, E3B 5A3
1618-8977;;ACARI BIBLIOGRAPHIA ACAROLOGICA;;Tri-annual;STAATLICHES MUSEUM NATURKUNDE GOERLITZ, PF 30 01 54, GOERLITZ, GERMANY, D-02806
0132-8077;2221-5115;ACARINA;;Semiannual;KMK SCIENTIFIC PRESS LTD, MOSCOW STATE UNIV, ZOOLOGICAL MUSEUM, BOLSHAYA NIKITSKAYA STREET 6, MOSCOW, RUSSIA, 00000
1687-4633;;ACARINES;;Semiannual;CAIRO UNIV, EGYPTIAN SOC ACAROLOGY, FAC AGRICULTURE, C/O AGRICULTURAL ZOOLOGY DEPT, GIZA, EGYPT, 12613
0044-586X;2107-7207;ACAROLOGIA;;Quarterly;ACAROLOGIA-UNIVERSITE PAUL VALERY, SERVICES PUBLICATIONS, 17 REU ABBE DE L EPEE, MONTPELLIER, FRANCE, 34090
0001-4575;1879-2057;ACCIDENT ANALYSIS AND PREVENTION;ACCID ANAL PREV;Monthly;PERGAMON-ELSEVIER SCIENCE LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB
0898-9621;1545-5815;ACCOUNTABILITY IN RESEARCH-POLICIES AND QUALITY ASSURANCE;ACCOUNT RES;Bimonthly;TAYLOR & FRANCIS LTD, 4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN
0001-4788;2159-4260;ACCOUNTING AND BUSINESS RESEARCH;;Bimonthly;ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD, 4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXFORDSHIRE, OX14 4RN
0810-5391;1467-629X;ACCOUNTING AND FINANCE;;Quarterly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
0951-3574;;ACCOUNTING AUDITING & ACCOUNTABILITY JOURNAL; AUDITING AND ACCOUNTABILITY JOURNAL;Bimonthly;EMERALD GROUP PUBLISHING LIMITED, HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA
0888-7993;1558-7975;ACCOUNTING HORIZONS;;Quarterly;AMER ACCOUNTING ASSOC, 5717 BESSIE DR, SARASOTA, USA, FL, 34233
0361-3682;;ACCOUNTING ORGANIZATIONS AND SOCIETY; ORGANIZATIONS AND SOCIETY;Bimonthly;PERGAMON-ELSEVIER SCIENCE LTD, THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB
1911-382X;1911-3838;ACCOUNTING PERSPECTIVES;;Semiannual;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
0001-4826;;ACCOUNTING REVIEW;;Quarterly;AMER ACCOUNTING ASSOC, 5717 BESSIE DR, SARASOTA, USA, FL, 34233
0001-4842;1520-4898;ACCOUNTS OF CHEMICAL RESEARCH;ACC CHEM RES;Monthly;AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, USA, DC, 20036
0949-1775;1432-0517;ACCREDITATION AND QUALITY ASSURANCE;;Bimonthly;SPRINGER, 233 SPRING ST, NEW YORK, USA, NY, 10013
0889-325X;;ACI MATERIALS JOURNAL;;Bimonthly;AMER CONCRETE INST, 38800 COUNTRY CLUB DR, FARMINGTON HILLS, USA, MI, 48331
0889-3241;;ACI STRUCTURAL JOURNAL;;Bimonthly;AMER CONCRETE INST, 38800 COUNTRY CLUB DR, FARMINGTON HILLS, USA, MI, 48331
0360-0300;1557-7341;ACM COMPUTING SURVEYS;;Quarterly;ASSOC COMPUTING MACHINERY, 2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701
1556-4673;1556-4711;ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE;;Annual;ASSOC COMPUTING MACHINERY, 2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701
1550-4832;1550-4840;ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS;ACM J EMERG TECHNOL COMPUT SYST;Quarterly;ASSOC COMPUTING MACHINERY, 2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701
0146-4833;;ACM SIGCOMM COMPUTER COMMUNICATION REVIEW;;Bimonthly;ASSOC COMPUTING MACHINERY, 2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701
0362-1340;;ACM SIGPLAN NOTICES;;Monthly;ASSOC COMPUTING MACHINERY, 2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701
1936-7228;1936-7236;ACM TRANSACTIONS ON ACCESSIBLE COMPUTING;ACM TRANS ACCESS COMPUT;Quarterly;ASSOC COMPUTING MACHINERY, 2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701
1549-6325;1549-6333;ACM TRANSACTIONS ON ALGORITHMS;;Quarterly;ASSOC COMPUTING MACHINERY, 2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701
1544-3558;1544-3965;ACM TRANSACTIONS ON APPLIED PERCEPTION;;Quarterly;ASSOC COMPUTING MACHINERY, 2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701
1544-3566;1544-3973;ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION;;Quarterly;ASSOC COMPUTING MACHINERY, 2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701
1530-0226;1558-3430;ACM TRANSACTIONS ON ASIAN LANGUAGE INFORMATION PROCESSING;;Quarterly;ASSOC COMPUTING MACHINERY, 2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701
1556-4665;1556-4703;ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS;;Quarterly;ASSOC COMPUTING MACHINERY, 2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701
1529-3785;1557-945X;ACM TRANSACTIONS ON COMPUTATIONAL LOGIC;;Quarterly;ASSOC COMPUTING MACHINERY, 2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701
1942-3454;;ACM TRANSACTIONS ON COMPUTATIONAL THEORY;;Quarterly;ASSOC COMPUTING MACHINERY, 2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701
0734-2071;1557-7333;ACM TRANSACTIONS ON COMPUTER SYSTEMS;;Quarterly;ASSOC COMPUTING MACHINERY, 2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701
1073-0516;1557-7325;ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION;ACM TRANS COMPUT HUM INTERACT;Quarterly;ASSOC COMPUTING MACHINERY, 2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701
0362-5915;1557-4644;ACM TRANSACTIONS ON DATABASE SYSTEMS;;Quarterly;ASSOC COMPUTING MACHINERY, 2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701
1084-4309;1557-7309;ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS;;Quarterly;ASSOC COMPUTING MACHINERY, 2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701
1539-9087;1558-3465;ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS;;Quarterly;ASSOC COMPUTING MACHINERY, 2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701
0730-0301;;ACM TRANSACTIONS ON GRAPHICS;ACM TRANS GRAPH;Bimonthly;ASSOC COMPUTING MACHINERY, 2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701
1094-9224;1557-7406;ACM TRANSACTIONS ON INFORMATION AND SYSTEM SECURITY;;Quarterly;ASSOC COMPUTING MACHINERY, 2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701
1046-8188;1558-2868;ACM TRANSACTIONS ON INFORMATION SYSTEMS;;Quarterly;ASSOC COMPUTING MACHINERY, 2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701
2157-6904;2157-6912;ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY;ACM TRANS INTELL SYST TECHNOL;Quarterly;ASSOC COMPUTING MACHINERY, 2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701
1533-5399;;ACM TRANSACTIONS ON INTERNET TECHNOLOGY;;Quarterly;ASSOC COMPUTING MACHINERY, 2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701
1556-4681;;ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA;ACM TRANS KNOWL DISCOV DATA;Quarterly;ASSOC COMPUTING MACHINERY, 2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701
0098-3500;1557-7295;ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE;ACM TRANS MATH SOFTW;Quarterly;ASSOC COMPUTING MACHINERY, 2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701
1049-3301;1558-1195;ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION;ACM TRANS MODEL COMPUT SIMUL;Quarterly;ASSOC COMPUTING MACHINERY, 2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701
1551-6857;1551-6865;ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS; COMMUNICATIONS AND APPLICATIONS;Quarterly;ASSOC COMPUTING MACHINERY, 2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701
0164-0925;1558-4593;ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS;;Quarterly;ASSOC COMPUTING MACHINERY, 2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701
1936-7406;1936-7414;ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS;ACM TRANS RECONFIGURABLE TECHNOL SYST;Quarterly;ASSOC COMPUTING MACHINERY, 2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701
1550-4859;;ACM TRANSACTIONS ON SENSOR NETWORKS;ACM TRANS SENS NETW;Quarterly;ASSOC COMPUTING MACHINERY, 2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701
1049-331X;1557-7392;ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY;;Quarterly;ASSOC COMPUTING MACHINERY, 2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701
1553-3077;1553-3093;ACM TRANSACTIONS ON STORAGE;;Quarterly;ASSOC COMPUTING MACHINERY, 2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701
1559-1131;1559-114X;ACM TRANSACTIONS ON THE WEB;;Quarterly;ASSOC COMPUTING MACHINERY, 2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701
0874-0380;;ACOREANA;ACOREANA;Irregular;ASSOC ESTUD ACOREAN AFONSO CHAVES, EDIFICIO DO MUSEU 'CARLOS MACHADO' ,APARTADO 258, PONTA DELGADA, PORTUGAL,ACORES, 9501-903
1063-7710;;ACOUSTICAL PHYSICS;ACOUST PHYS;Bimonthly;MAIK NAUKA/INTERPERIODICA/SPRINGER, 233 SPRING ST, NEW YORK, USA, NY, 10013-1578
0814-6039;;ACOUSTICS AUSTRALIA;ACOUST AUST;Tri-annual;SPRINGER, 233 SPRING ST, NEW YORK, USA, NY, 10013
0351-2851;;ACROCEPHALUS;;Bimonthly;DE GRUYTER OPEN LTD, SOLIPSKA 14A-1, WARSAW, POLAND, 02-482
1585-1923;1588-2519;ACROSS LANGUAGES AND CULTURES;;Semiannual;AKADEMIAI KIADO RT, PRIELLE K U 19, PO BOX 245,, BUDAPEST, HUNGARY, H-1117
1944-8244;1944-8252;ACS APPLIED MATERIALS & INTERFACES;ACS APPL MATER INTERFACES;Monthly;AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, USA, DC, 20036
2155-5435;;ACS CATALYSIS;ACS CATAL;Monthly;AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, USA, DC, 20036
1554-8929;;ACS CHEMICAL BIOLOGY;ACS CHEM BIOL;Monthly;AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, USA, DC, 20036
1948-7193;;ACS CHEMICAL NEUROSCIENCE;ACS CHEM NEUROSCI;Monthly;AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, USA, DC, 20036
2156-8952;2156-8944;ACS COMBINATORIAL SCIENCE;ACS COMB SCI;Bimonthly;AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, USA, DC, 20036
2161-1653;;ACS MACRO LETTERS;ACS MACRO LETT;Monthly;AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, USA, DC, 20036
1948-5875;;ACS MEDICINAL CHEMISTRY LETTERS;ACS MED CHEM LETT;Monthly;AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, USA, DC, 20036
1936-0851;1936-086X;ACS NANO;ACS NANO;Monthly;AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, USA, DC, 20036
2330-4022;;ACS PHOTONICS;;Monthly;AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, USA, DC, 20036
2168-0485;;ACS SUSTAINABLE CHEMISTRY & ENGINEERING;ACS SUSTAIN CHEM ENG;Monthly;AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, USA, DC, 20036
2161-5063;;ACS SYNTHETIC BIOLOGY;ACS SYNTH BIOL;Monthly;AMER CHEMICAL SOC, 1155 16TH ST, NW, WASHINGTON, USA, DC, 20036
1331-7768;1331-7776;ACS-AGRICULTURAE CONSPECTUS SCIENTIFICUS;;Quarterly;AGRONOMSKI FAKULTET, SVEUCILISTA U ZAGREBU, SVETOSIMUNSKA 25, ZAGREB, CROATIA, HR-10000
1091-5397;1536-593X;ACSMS HEALTH & FITNESS JOURNAL;ACSMS HEALTH FIT J;Bimonthly;LIPPINCOTT WILLIAMS & WILKINS, TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103
1610-1928;1861-9959;ACTA ACUSTICA UNITED WITH ACUSTICA;;Bimonthly;S HIRZEL VERLAG, POSTFACH 10 10 61, STUTTGART, GERMANY, D-70 009
0001-5113;1846-0453;ACTA ADRIATICA;;Semiannual;INST OCEANOGRAFIJU I RIBARSTVO, SETALISTE I MESTROVICA 63, SPLIT, CROATIA, 21000
0906-4702;1651-1972;ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE;ACTA AGRIC. SCAND. A ANIM. SCI.;Quarterly;TAYLOR & FRANCIS AS, KARL JOHANS GATE 5, OSLO, NORWAY, NO-0154
0906-4710;1651-1913;ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE;;Bimonthly;TAYLOR & FRANCIS AS, KARL JOHANS GATE 5, OSLO, NORWAY, NO-0154
1581-9175;;ACTA AGRICULTURAE SLOVENICA;ACTA AGRIC. SLOV.;Quarterly;UNIV LJUBLJANA, CENTRAL LIBRARY, JAMNIKARJEVA 101, P. O. BOX 2995, LJUBLJANA, SLOVENIA, SLO-1111
1000-2286;;ACTA AGRICULTURAE UNIVERSITATIS JIANGXIENSIS;JIANGXI NONGYE DAXUE XUEBAO;Bimonthly;JIANGXI AGRICULTURAL UNIV, NANCHANG, PEOPLES R CHINA, JIANGXI PROVINCE, 330045
0065-0951;;ACTA AGROBOTANICA;;Quarterly;POLSKIE TOWARZYSTWO BOTANICZNE, AL UJAZDOWSKIE 4, WARSAW, POLAND, 00-478
0238-0161;1588-2527;ACTA AGRONOMICA HUNGARICA;;Quarterly;AKADEMIAI KIADO RT, PRIELLE K U 19, PO BOX 245,, BUDAPEST, HUNGARY, H-1117
0515-2712;;ACTA ALBERTINA RATISBONENSIA;;Irregular;NATURWISSENSCHAFTLICHER VEREIN REGENSBURG E V, AM PREBRUNNTOR 4, REGENSBURG, GERMANY, 93047
0139-3006;1588-2535;ACTA ALIMENTARIA;;Quarterly;AKADEMIAI KIADO RT, PRIELLE K U 19, PO BOX 245,, BUDAPEST, HUNGARY, H-1117
0044-5967;1809-4392;ACTA AMAZONICA;ACTA AMAZON;Irregular;INST NACIONAL PESQUISAS AMAZONIA, CAIXA POSTAL 478,  ALAMEDA COSME FERREIRA, 1756, MANAUS, BRAZIL, AMAZONAS,00000
0001-5172;1399-6576;ACTA ANAESTHESIOLOGICA SCANDINAVICA;ACTA ANAESTHESIOL SCAND;Monthly;WILEY-BLACKWELL, 111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774
0353-5150;1874-6349;ACTA ANALYTICA-INTERNATIONAL PERIODICAL FOR PHILOSOPHY IN THE ANALYTICAL TRADITION;;Quarterly;SPRINGER, 233 SPRING ST, NEW YORK, USA, NY, 10013
0529-1356;;ACTA ANATOMICA SINICA;;Bimonthly;CHINESE SOC ANATOMICAL SCIENCES, 42 DONGSI XIDAJIE, BEIJING, PEOPLES R CHINA, 100710
1000-3193;;ACTA ANTHROPOLOGICA SINICA;;Quarterly;ACAD SIN BEIJING, P. O. BOX 643, BEIJING, PEOPLES R CHINA, 100044
0167-8019;;ACTA APPLICANDAE MATHEMATICAE;ACTA APPL MATH;Bimonthly;SPRINGER, VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ
0001-5202;;ACTA ARACHNOLOGICA;;Semiannual;ARACHNOLOGICAL SOC JAPAN, C/O BIOLOGICAL LABORATORY, OTEMON-GAKUIN UNIV, 2-1-15, NISHI-AI, IBARAKI, JAPAN, OSAKA, 567-8502, 00000
