title;short_title;id_issn;id_eissn;id_arx;id_oth;period;language;url;publisher;scope;
The Journal of the American Board of Family Practice;J Am Board Fam Pract;0893-8652;1544-8770;;;;;;;;
Journal of biological regulators and homeostatic agents;J;0393-974X;;;;;;;;;
Journal of bioluminescence and chemiluminescence;J;0884-3996;;;;;;;;;
Acta medica Okayama;Acta Med;0386-300X;;;;;;;;;
Journal of bone and mineral research;J;0884-0431;1523-4681;;;;;;;;
Acta medica Philippina;Acta Med Philipp;0001-6071;;;;;;;;;
Acta medica Polona;Acta Med Pol;0001-608X;;;;;;;;;
Acta medica portuguesa;Acta Med Port;0870-399X;1646-0758;;;;;;;;
Acta medica Scandinavica;Acta Med Scand;0001-6101;;;;;;;;;
Acta medica Scandinavica;Acta Med;0365-463X;;;;;;;;;
Acta medica veterinaria;Acta Med Vet;0001-6136;;;;;;;;;
Acta microbiologica Academiae Scientiarum Hungaricae;Acta Microbiol Acad Sci Hung;0001-6187;;;;;;;;;
Acta microbiologica Bulgarica;Acta Microbiol Bulg;0204-8809;;;;;;;;;
Acta microbiologica Polonica;Acta Microbiol;0137-1320;;;;;;;;;
Acta microbiologica Polonica;Acta Microbiol Pol A;0567-7815;;;;;;;;;
Acta microbiologica Polonica;Acta Microbiol Pol B;0567-7823;;;;;;;;;
Acta morphologica Academiae Scientiarum Hungaricae;Acta Morphol Acad Sci Hung;0001-6217;;;;;;;;;
Acta microbiologica;Acta Microbiol Virol Immunol;0324-0452;;;;;;;;;
Acta morphologica Hungarica;Acta Morphol Hung;0236-5391;;;;;;;;;
Acta morphologica Neerlando;Acta Morphol Neerl Scand;0001-6225;;;;;;;;;
Acta neurobiologiae experimentalis;Acta Neurobiol Exp;0065-1400;1689-0035;;;;;;;;
Acta neurochirurgica;Acta Neurochir;0001-6268;0942-0940;;;;;;;;
Acta neurologica;Acta Neurol;0001-6276;;;;;;;;;
Acta rhumatologica;Acta Rhumatol;0250-4642;;;;;;;;;
Acta leprologica;Acta Leprol;0001-5938;;;;;;;;;
Acta microbiologica Hungarica;Acta Microbiol;0231-4622;;;;;;;;;
Acta neurologica Belgica;Acta Neurol Belg;0300-9009;2240-2993;;;;;;;;
Acta neurologica latinoamericana;Acta Neurol Latinoam;0001-6306;;;;;;;;;
Acta neurologica;Acta Neurol Quad;0515-2976;;;;;;;;;
Acta neurologica Scandinavica;Acta Neurol;0001-6314;1600-0404;;;;;;;;
Acta neurologica Scandinavica;Acta Neurol;0065-1427;1600-5449;;;;;;;;
Acta neuropathologica;Acta Neuropathol;0001-6322;1432-0533;;;;;;;;
Acta neuropathologica;Acta Neuropathol Suppl;0065-1435;;;;;;;;;
Acta neurovegetativa;Acta Neuroveg;0375-9245;;;;;;;;;
Acta obstetrica y ginecologica hispano;Acta Obstet Ginecol Hisp Lusit;0210-9832;;;;;;;;;
Acta obstetrica y ginecologica hispano;Acta Obstet Ginecol Hisp Lusit Suppl;0300-8940;;;;;;;;;
Acta obstetrica et gynaecologica Japonica;Acta Obstet Gynaecol Jpn;0001-6330;;;;;;;;;
Acta obstetricia et gynecologica Scandinavica;Acta Obstet Gynecol Scand;0001-6349;1600-0412;;;;;;;;
Acta obstetricia et gynecologica Scandinavica;Acta Obstet Gynecol Scand Suppl;0300-8835;;;;;;;;;
Acta odontologica Scandinavica;Acta Odontol;0001-6357;1502-3850;;;;;;;;
Acta odontologica Scandinavica;Acta Odontol Scand Suppl;0365-530X;;;;;;;;;
Acta odontologica venezolana;Acta Odontol Venez;0001-6365;;;;;;;;;
Acta oncologica;Acta Oncol;0001-6381;;;;;;;;;
Acta ophthalmologica;Acta Ophthalmol;0001-639X;;;;;;;;;
Acta ophthalmologica;Acta Ophthalmol;0065-1451;;;;;;;;;
Acta orthopaedica Belgica;Acta Orthop Belg;0001-6462;;;;;;;;;
Acta orthopaedica Scandinavica;Acta Orthop Scand;0001-6470;;;;;;;;;
Acta orthopaedica Scandinavica;Acta Orthop Scand Suppl;0300-8827;;;;;;;;;
Acta oto;Acta Otolaryngol;0001-6489;1651-2251;;;;;;;;
Acta oto;Acta Otolaryngol Suppl;0365-5237;;;;;;;;;
Acta oto;Acta Otorhinolaryngol Belg;0001-6497;;;;;;;;;
Acta otorhinolaryngologica Italica;Acta Otorhinolaryngol Ital;0392-100X;1827-675X;;;;;;;;
Acta oto;Acta Otorinolaryngol Iber Am;0001-6500;;;;;;;;;
Acta paediatrica Academiae Scientiarum Hungaricae;Acta Paediatr Acad Sci Hung;0001-6527;;;;;;;;;
Acta paediatrica Belgica;Acta Paediatr Belg;0001-6535;;;;;;;;;
Nihon Shonika Gakkai zasshi;Nihon Shonika Gakkai Zasshi;0001-6543;;;;;;;;;
Acta paediatrica Japonica;Acta Paediatr Jpn;0374-5600;;;;;;;;;
Acta paediatrica Scandinavica;Acta Paediatr Scand;0001-656X;;;;;;;;;
Acta paediatrica Scandinavica;Acta Paediatr Scand Suppl;0300-8843;;;;;;;;;
Zhonghua Minguo xiao er ke yi xue hui za zhi;Zhonghua Min Guo Xiao Er Ke Yi Xue Hui Za Zhi;0001-6578;;;;;;;;;
Acta paedopsychiatrica;Acta Paedopsychiatr;0001-6586;;;;;;;;;
Series paedopsychiatrica;Ser Paedopsychiatr;0080-9012;;;;;;;;;
Acta pathologica japonica;Acta Pathol;0001-6632;;;;;;;;;
Acta pathologica et microbiologica Scandinavica;Acta Pathol Microbiol Scand;0365-5555;;;;;;;;;
Acta pathologica et microbiologica Scandinavica;Acta Pathol Microbiol Scand A;0365-4184;;;;;;;;;
Acta pathologica et microbiologica Scandinavica;Acta Pathol Microbiol Scand B;0105-0656;;;;;;;;;
Acta pathologica et microbiologica Scandinavica;Acta Pathol Microbiol Scand C;0304-1328;;;;;;;;;
Acta pathologica;Acta Pathol Microbiol Immunol Scand Suppl;0108-0172;;;;;;;;;
Acta pediatrica espanola;Acta Pediatr Esp;0001-6640;2014-2986;;;;;;;;
Acta pathologica;Acta Pathol Microbiol Immunol Scand A;0108-0164;;;;;;;;;
Acta pathologica;Acta Pathol Microbiol Immunol Scand B;0108-0180;;;;;;;;;
Acta pathologica;Acta Pathol Microbiol Immunol Scand C;0108-0202;;;;;;;;;
Acta pharmaceutica Hungarica;Acta Pharm Hung;0001-6659;;;;;;;;;
Zhongguo yao li xue bao;Zhongguo Yao Li Xue Bao;0253-9756;;;;;;;;;
Yao xue xue bao;Yao Xue Xue Bao;0513-4870;;;;;;;;;
Acta pharmaceutica Suecica;Acta Pharm;0001-6675;;;;;;;;;
Acta pharmacologica et toxicologica;Acta Pharmacol Toxicol;0001-6683;;;;;;;;;
Acta physiologica Academiae Scientiarum Hungaricae;Acta Physiol Acad Sci Hung;0001-6756;;;;;;;;;
Acta physiologica Hungarica;Acta Physiol Hung;0231-424X;;;;;;;;;
Acta physiologica latino americana;Acta Physiol Lat Am;0001-6764;;;;;;;;;
Acta physiologica et pharmacologica Bulgarica;Acta Physiol Pharmacol Bulg;0323-9950;;;;;;;;;
Acta physiologica et pharmacologica latinoamericana;Acta Physiol Pharmacol Latinoam;0326-6656;;;;;;;;;
Acta physiologica et pharmacologica Neerlandica;Acta Physiol Pharmacol Neerl;0001-6748;;;;;;;;;
Acta physiologica Polonica;Acta Physiol Pol;0044-6033;;;;;;;;;
Acta physiologica Scandinavica;Acta Physiol;0001-6772;1365-201X;;;;;;;;
Acta physiologica Scandinavica;Acta Physiol Scand Suppl;0302-2994;;;;;;;;;
Acta poloniae pharmaceutica;Acta Pol Pharm;0001-6837;;;;;;;;;
Acta psiquiatrica y psicologica de America latina;Acta Psiquiatr Psicol Am Lat;0001-6896;;;;;;;;;
Acta psychiatrica Belgica;Acta Psychiatr Belg;0300-8967;;;;;;;;;
Acta psychiatrica Scandinavica;Acta Psychiatr Scand;0001-690X;1600-0447;;;;;;;;
Acta psychiatrica Scandinavica;Acta Psychiatr Scand Suppl;0065-1591;1600-5473;;;;;;;;
Acta psychologica;Acta Psychol;0001-6918;1873-6297;;;;;;;;
Acta rhumatologica Belgica;Acta Rhumatol Belg;0378-9497;;;;;;;;;
Acta radiologica;Acta Radiol Diagn;0567-8056;;;;;;;;;
Acta radiologica;Acta Radiol Suppl;0365-5954;;;;;;;;;
Acta radiologica;Acta Radiol Ther Phys Biol;0567-8064;;;;;;;;;
Acta radiologica;Acta Radiol Oncol Radiat Phys Biol;0348-5196;;;;;;;;;
Acta radiologica;Acta Radiol Oncol;0349-652X;;;;;;;;;
Acta medica Iranica;Acta Med Iran;0044-6025;1735-9694;;;;;;;;
Acta rheumatologica Scandinavica;Acta Rheumatol Scand;0001-6934;;;;;;;;;
Acta Scholae Medicinalis Universitatis in Kioto;Acta Sch Med Univ Kioto;0001-6950;;;;;;;;;
Acta Societatis Medicorum Upsaliensis;Acta Soc Med Ups;0001-6985;;;;;;;;;
Acta stomatologica internationalia;Acta Stomatol Int;0255-4410;;;;;;;;;
Nippon Ganka Gakkai zasshi;Nippon Ganka Gakkai Zasshi;0029-0203;;;;;;;;;
Acta socio;Acta Sociomed Scand;0044-6041;;;;;;;;;
Acta stomatologica Belgica;Acta Stomatol Belg;0001-7000;;;;;;;;;
Acta stomatologica Croatica;Acta Stomatol Croat;0001-7019;;;;;;;;;
Acta theriologica;Acta Theriol;0001-7051;2190-3743;;;;;;;;
Acta tropica;Acta Trop;0001-706X;1873-6254;;;;;;;;
Acta tropica;Acta Trop Suppl;0365-1541;;;;;;;;;
Acta tuberculosea et pneumologica Belgica;Acta Tuberc Pneumol Belg;0001-7078;;;;;;;;;
Acta tuberculosea Japonica;Acta Tuberc Jpn;0567-8161;;;;;;;;;
Acta tuberculosea et pneumologica Scandinavica;Acta Tuberc Pneumol Scand;0365-7531;;;;;;;;;
Acta Universitatis Carolinae;Acta Univ Carol Med;0001-7116;;;;;;;;;
Acta Universitatis Carolinae;Acta Univ Carol Med Monogr;0567-8250;;;;;;;;;
Acta urologica Belgica;Acta Urol Belg;0001-7183;;;;;;;;;
Hinyokika kiyo;Hinyokika Kiyo;0018-1994;;;;;;;;;
Acta veterinaria Academiae Scientiarum Hungaricae;Acta Vet Acad Sci Hung;0001-7205;;;;;;;;;
Acta veterinaria Hungarica;Acta Vet;0236-6290;;;;;;;;;
Acta veterinaria Scandinavica;Acta Vet;0044-605X;1751-0147;;;;;;;;
Acta veterinaria Scandinavica;Acta Vet Scand Suppl;0065-1699;;;;;;;;;
Acta virologica;Acta Virol;0001-723X;1336-2305;;;;;;;;
Acta vitaminologica et enzymologica;Acta Vitaminol;0300-8924;;;;;;;;;
Acta zoologica et pathologica Antverpiensia;Acta Zool Pathol Antverp;0001-7280;;;;;;;;;
The African journal of psychiatry;Afr J Psychiatry;0331-0175;;;;;;;;;
Actas dermo;Actas Dermosifiliogr;0001-7310;1578-2190;;;;;;;;
Actas urologicas espanolas;Actas Urol Esp;0210-4806;1699-7980;;;;;;;;
Acta Universitatis Palackianae Olomucensis Facultatis Medicae;Acta Univ Palacki Olomuc Fac Med;0301-2514;;;;;;;;;
Actas luso;Actas Luso Esp Neurol Psiquiatr Cienc Afines;0300-5062;;;;;;;;;
Actas luso;Actas Luso Esp Neurol Psiquiatr;0001-7329;;;;;;;;;
Actualites cardiologiques et angeiologiques internationales;Actual Cardiol Angeiol Int;0365-1045;;;;;;;;;
Actualites endocrinologiques;Actual Endocrinol;0065-1826;;;;;;;;;
Actualites hepato;Actual Hepatogastroenterol;0240-8007;;;;;;;;;
Actualites neurophysiologiques;Actual Neurophysiol;0567-882X;;;;;;;;;
Actualites odonto;Actual Odontostomatol;0001-7817;1760-611X;;;;;;;;
Actualidad pediatrica;Actual Pediatr;0001-7671;;;;;;;;;
Actualites pharmacologiques;Actual Pharmacol;0567-8854;;;;;;;;;
Acupuncture;Acupunct Electrother Res;0360-1293;;;;;;;;;
Actualites de physiologie pathologique;Actual Physiol Pathol;0567-8714;;;;;;;;;
Addictive behaviors;Addict Behav;0306-4603;1873-6327;;;;;;;;
Advance data;Adv Data;0147-3956;1933-3889;;;;;;;;
Administration in social work;Adm Soc Work;0364-3107;1544-4376;;;;;;;;
Addictive diseases;Addict Dis;0094-0267;;;;;;;;;
Administrative science quarterly;Adm Sci Q;0001-8392;;;;;;;;;
Adolescence;Adolescence;0001-8449;;;;;;;;;
Adult education;Adult Educ;0001-8481;;;;;;;;;
Advances in anatomy;Adv Anat Embryol Cell Biol;0301-5556;;;;;;;;;
Advances in applied microbiology;Adv;0065-2164;;;;;;;;;
Administration in mental health;Adm Ment Health;0090-1180;;;;;;;;;
Advances in biochemical psychopharmacology;Adv;0065-2229;;;;;;;;;
Advances in biological and medical physics;Adv Biol Med Phys;0065-2245;;;;;;;;;
Lifelong learning;Lifelong Learn Adult Years;0148-2165;;;;;;;;;
Advances in biochemical engineering;Adv;0724-6145;1616-8542;;;;;;;;
Advances in biology of skin;Adv Biol Skin;0065-2253;;;;;;;;;
Advances in biomedical engineering and medical physics;Adv Biomed Eng Med Phys;0065-2261;;;;;;;;;
Advances in biophysics;Adv;0065-227X;1873-4618;;;;;;;;
Advances in cancer research;Adv;0065-230X;;;;;;;;;
Advances in carbohydrate chemistry and biochemistry;Adv Carbohydr Chem Biochem;0065-2318;;;;;;;;;
Advances in cardiology;Adv Cardiol;0065-2326;1662-2839;;;;;;;;
Advances in cardiopulmonary diseases;Adv Cardiopulm Dis;0065-2334;;;;;;;;;
Advances in cell biology;Adv Cell Biol;0065-2369;;;;;;;;;
Advances in chemotherapy;Adv Chemother;0567-9877;;;;;;;;;
Advances in child development and behavior;Adv Child Dev Behav;0065-2407;;;;;;;;;
Advances in contraception;Adv Contracept;0267-4874;;;;;;;;;
Advances in chromatography;Adv Chromatogr;0065-2415;;;;;;;;;
Advances in clinical chemistry;Adv Clin Chem;0065-2423;;;;;;;;;
Advances in clinical pharmacology;Adv Clin Pharmacol;0303-2671;;;;;;;;;
Advances in comparative physiology and biochemistry;Adv Comp Physiol Biochem;0065-244X;;;;;;;;;
Advances in cyclic nucleotide and protein phosphorylation research;Adv Cyclic Nucleotide Protein Phosphorylation Res;0747-7767;;;;;;;;;
Advances in cyclic nucleotide research;Adv Cyclic Nucleotide Res;0084-5930;;;;;;;;;
Advances in cytopharmacology;Adv Cytopharmacol;0084-5949;;;;;;;;;
Advances in drug research;Adv Drug Res;0065-2490;;;;;;;;;
Advances in enzyme regulation;Adv;0065-2571;1873-2437;;;;;;;;
Advances in experimental medicine and biology;Adv;0065-2598;;;;;;;;;
Advances in fluorine research and dental caries prevention;Adv Fluorine Res;0567-994X;;;;;;;;;
Advances in health economics and health services research;Adv Health Econ Health Serv Res;0731-2199;;;;;;;;;
Aktuelle Traumatologie;Aktuelle Traumatol;0044-6173;;;;;;;;;
Advances in food research;Adv Food Res;0065-2628;;;;;;;;;
Advances in immunity and cancer therapy;Adv Immun Cancer Ther;0178-2134;;;;;;;;;
Advances in genetics;Adv;0065-2660;;;;;;;;;
Advances in gerontological research;Adv Gerontol Res;0065-2709;;;;;;;;;
Advances in nutritional research;Adv Nutr Res;0149-9483;;;;;;;;;
Advances in heterocyclic chemistry;Adv Heterocycl Chem;0065-2725;;;;;;;;;
Advances in human genetics;Adv;0065-275X;;;;;;;;;
Advances in immunology;Adv;0065-2776;1557-8445;;;;;;;;
Advances in inorganic biochemistry;Adv;0190-0218;;;;;;;;;
Advances in internal medicine;Adv Intern Med;0065-2822;;;;;;;;;
Advances in lipid research;Adv;0065-2849;;;;;;;;;
Advances in metabolic disorders;Adv Metab Disord;0065-2903;;;;;;;;;
Advances in microbial physiology;Adv;0065-2911;;;;;;;;;
Advances in nephrology from the Necker Hospital;Adv;0084-5957;;;;;;;;;
Advances in morphogenesis;Adv Morphog;0065-2962;;;;;;;;;
Advances in neurology;Adv Neurol;0091-3952;;;;;;;;;
Shinkei kenkyu no shimpo;Shinkei Kenkyu No Shimpo;0001-8724;;;;;;;;;
Advances in alcohol;Adv Alcohol Subst Abuse;0270-3106;;;;;;;;;
Advances in ophthalmology;Adv Ophthalmol;0065-3004;;;;;;;;;
Advances in oral biology;Adv Oral Biol;0065-3020;;;;;;;;;
Advances in oto;Adv;0065-3071;1662-2847;;;;;;;;
Advances in prostaglandin and thromboxane research;Adv Prostaglandin Thromboxane Res;0361-5952;;;;;;;;;
Advances in parasitology;Adv;0065-308X;;;;;;;;;
Advances in pathobiology;Adv Pathobiol;0099-1147;;;;;;;;;
Advances in pediatrics;Adv Pediatr;0065-3101;1878-1926;;;;;;;;
Advances in pest control research;Adv Pest Control Res;0568-0107;;;;;;;;;
Advances in pharmaceutical sciences;Adv Pharm Sci;0065-3136;;;;;;;;;
Advances in pharmacology and chemotherapy;Adv Pharmacol Chemother;0065-3144;;;;;;;;;
Adverse drug reactions and acute poisoning reviews;Adverse Drug React Acute Poisoning Rev;0260-647X;;;;;;;;;
Advances in protein chemistry;Adv;0065-3233;1557-8941;;;;;;;;
Advances in prostaglandin;Adv;0732-8141;;;;;;;;;
Advances in psychobiology;Adv Psychobiol;0065-3241;;;;;;;;;
Advances in psychosomatic medicine;Adv Psychosom Med;0065-3268;1662-2855;;;;;;;;
Advancement of science;Adv Sci;0001-866X;;;;;;;;;
Advances in steroid biochemistry and pharmacology;Adv Steroid Biochem Pharmacol;0065-339X;;;;;;;;;
Advances in surgery;Adv Surg;0065-3411;;;;;;;;;
Advances in reproductive physiology;Adv Reprod Physiol;0065-3322;;;;;;;;;
Advances in tracer methodology;Adv Tracer Methodol;0065-3497;;;;;;;;;
Advances in sex hormone research;Adv Sex Horm Res;0098-0137;;;;;;;;;
Advances in socio;Adv Sociodent Res;0092-9816;;;;;;;;;
Advances in tuberculosis research;Adv Tuberc Res;0065-3500;;;;;;;;;
Advances in veterinary science and comparative medicine;Adv Vet Sci Comp Med;0065-3519;;;;;;;;;
Advances in shock research;Adv Shock Res;0195-878X;;;;;;;;;
Advances in virus research;Adv;0065-3527;1557-8399;;;;;;;;
Aeromedical reviews;Aeromed Rev;0065-3683;;;;;;;;;
Aerospace medicine;Aerosp Med;0001-9402;;;;;;;;;
Arztliche Forschung;Arztl Forsch;0001-9496;;;;;;;;;
Arztliche Jugendkunde;Arztl Jugendkd;0001-9518;;;;;;;;;
Asthetische Medizin;Asthet Med;0400-6755;;;;;;;;;
Aesthetic plastic surgery;Aesthetic Plast Surg;0364-216X;1432-5241;;;;;;;;
The AFL;AFL CIO Am Fed;0149-2489;;;;;;;;;
The African journal of medical sciences;Afr J Med Sci;0002-0028;;;;;;;;;
Aging;Aging Leis Living;0194-455X;;;;;;;;;
Age and ageing;Age Ageing;0002-0729;1468-2834;;;;;;;;
Aging;Aging;0002-0966;;;;;;;;;
Agents and actions;Agents Actions;0065-4299;;;;;;;;;
Aggiornamenti clinicoterapeutici;Aggiorn Clinico Ter;0002-0907;;;;;;;;;
Agents and actions;Agents Actions Suppl;0379-0363;;;;;;;;;
Die Agnes Karll;Agnes Karll Schwest Krankenpfleger;0944-9175;;;;;;;;;
Agressologie;Agressologie;0002-1148;;;;;;;;;
Aichi Gakuin Daigaku Shigakkai shi;Aichi Gakuin Daigaku Shigakkai Shi;0044-6912;;;;;;;;;
Air and water pollution;Air Water Pollut;0568-3408;;;;;;;;;
Aktuelle Gerontologie;Aktuelle Gerontol;0300-5704;;;;;;;;;
Aktuelle Oto;Aktuelle Otorhinolaryngol;0065-5570;;;;;;;;;
American journal of otolaryngology;Am J Otolaryngol;0196-0709;1532-818X;;;;;;;;
Aktuelle Probleme in der Chirurgie;Aktuelle Probl Chir;0065-5589;;;;;;;;;
Aktuelle Probleme in Chirurgie und Orthopadie;Aktuelle Probl Chir Orthop;0378-8504;;;;;;;;;
Adolescent psychiatry;Adolesc Psychiatry;0065-2008;;;;;;;;;
Akusherstvo i ginekologiia;Akush Ginekol;0002-3906;;;;;;;;;
Akusherstvo i ginekologiia;Akush Ginekol;0324-0959;;;;;;;;;
The Alabama journal of medical sciences;Ala J Med Sci;0002-4252;;;;;;;;;
Brain;Brain Dev;0387-7604;1872-7131;;;;;;;;
The Alabama nurse;Ala Nurse;0002-4317;;;;;;;;;
American College of Physicians observer;Am Coll Physicians Obs;0279-9529;;;;;;;;;
Bulletin;Bull Alameda Cty Dent Soc;0098-3764;;;;;;;;;
The American journal of pediatric hematology;Am J Pediatr Hematol Oncol;0192-8562;;;;;;;;;
Alaska medicine;Alaska Med;0002-4538;;;;;;;;;
The American Journal of dermatopathology;Am J Dermatopathol;0193-1091;1533-0311;;;;;;;;
The Alaska nurse;Alaska Nurse;0002-4546;;;;;;;;;
Alcoholism;Alcohol;0145-6008;1530-0277;;;;;;;;
