title;short_title;id_issn;id_eissn;id_arx;id_oth;period;language;url;publisher;scope
Acm Transactions On Knowledge Discovery From Data;Acm Trans Knowl Discov Data;1556-4681;;;;QUA;;;;
Acm Transactions On Mathematical Software;Acm Trans Math Softw;0098-3500;1557-7295;;;QUA;;;;
Acm Transactions On Modeling And Computer Simulation;Acm Trans Model Comput Simul;1049-3301;1558-1195;;;QUA;;;;
Acm Transactions On Multimedia Computing Communications And Applications; Communications And Applications;1551-6857;1551-6865;;;QUA;;;;
Acm Transactions On Programming Languages And Systems;;0164-0925;1558-4593;;;QUA;;;;
Acm Transactions On Reconfigurable Technology And Systems;Acm Trans Reconfigurable Technol Syst;1936-7406;1936-7414;;;QUA;;;;
Acm Transactions On Sensor Networks;Acm Trans Sens Netw;1550-4859;;;;QUA;;;;
Acm Transactions On Software Engineering And Methodology;;1049-331X;1557-7392;;;QUA;;;;
Acm Transactions On Storage;;1553-3077;1553-3093;;;QUA;;;;
Acm Transactions On The Web;;1559-1131;1559-114X;;;QUA;;;;
Acoreana;Acoreana;0874-0380;;;;IRR;;;;
Acoustical Physics;Acoust Phys;1063-7710;;;;BIM;;;Springer;
Acoustics Australia;Acoust Aust;0814-6039;;;;TRI;;;Springer;
Acrocephalus;;0351-2851;;;;BIM;;;;
Across Languages And Cultures;;1585-1923;1588-2519;;;SEM;;;;
Acs Applied Materials & Interfaces;Acs Appl Mater Interfaces;1944-8244;1944-8252;;;MON;;;;
Acs Catalysis;Acs Catal;2155-5435;;;;MON;;;;
Acs Chemical Biology;Acs Chem Biol;1554-8929;;;;MON;;;;
Acs Chemical Neuroscience;Acs Chem Neurosci;1948-7193;;;;MON;;;;
Acs Combinatorial Science;Acs Comb Sci;2156-8952;2156-8944;;;BIM;;;;
Acs Macro Letters;Acs Macro Lett;2161-1653;;;;MON;;;;
Acs Medicinal Chemistry Letters;Acs Med Chem Lett;1948-5875;;;;MON;;;;
Acs Nano;Acs Nano;1936-0851;1936-086X;;;MON;;;;
Acs Photonics;;2330-4022;;;;MON;;;;
Acs Sustainable Chemistry & Engineering;Acs Sustain Chem Eng;2168-0485;;;;MON;;;;
Acs Synthetic Biology;Acs Synth Biol;2161-5063;;;;MON;;;;
Acs-Agriculturae Conspectus Scientificus;;1331-7768;1331-7776;;;QUA;;;;
Acsms Health & Fitness Journal;Acsms Health Fit J;1091-5397;1536-593X;;;BIM;;;;
Acta Acustica United With Acustica;;1610-1928;1861-9959;;;BIM;;;;
Acta Adriatica;;0001-5113;1846-0453;;;SEM;;;;
Acta Agriculturae Scandinavica Section A-Animal Science;Acta Agric. Scand. A Anim. Sci.;0906-4702;1651-1972;;;QUA;;;;
Acta Agriculturae Scandinavica Section B-Soil And Plant Science;;0906-4710;1651-1913;;;BIM;;;;
Acta Agriculturae Slovenica;Acta Agric. Slov.;1581-9175;;;;QUA;;;;
Acta Agriculturae Universitatis Jiangxiensis;Jiangxi Nongye Daxue Xuebao;1000-2286;;;;BIM;;;;
Acta Agrobotanica;;0065-0951;;;;QUA;;;;
Acta Agronomica Hungarica;;0238-0161;1588-2527;;;QUA;;;;
Acta Albertina Ratisbonensia;;0515-2712;;;;IRR;;;;
Acta Alimentaria;;0139-3006;1588-2535;;;QUA;;;;
Acta Amazonica;Acta Amazon;0044-5967;1809-4392;;;IRR;;;;
Acta Anaesthesiologica Scandinavica;Acta Anaesthesiol Scand;0001-5172;1399-6576;;;MON;;;Wiley;
Acta Analytica-International Periodical For Philosophy In The Analytical Tradition;;0353-5150;1874-6349;;;QUA;;;Springer;
Acta Anatomica Sinica;;0529-1356;;;;BIM;;;;
Acta Anthropologica Sinica;;1000-3193;;;;QUA;;;;
Acta Applicandae Mathematicae;Acta Appl Math;0167-8019;;;;BIM;;;Springer;
Acta Arachnologica;;0001-5202;;;;SEM;;;;
Acta Arachnologica Sinica;Zhuxing Xuebao;1005-9628;;;;SEM;;;;
Acta Archaeologica;;0065-101X;1600-0390;;;ANN;;;Wiley;
Acta Arithmetica;;0065-1036;1730-6264;;;;;;;
Acta Astronautica;Acta Astronaut;0094-5765;;;;MON;;;Elsevier;
Acta Astronomica;;0001-5237;;;;QUA;;;;
Acta Biochimica Et Biophysica Sinica;Acta Biochim Biophys Sin (Shanghai);1672-9145;1745-7270;;;MON;;;;
Acta Biochimica Polonica;;0001-527X;1734-154X;;;QUA;;;;
Acta Bioethica;Acta Bioeth;1726-569X;1726-569X;;;SEM;;;;
Acta Biologiae Experimentalis Sinica;Shi Yan Sheng Wu Xue Bao;0001-5334;;;;QUA;;;;
Acta Biologica Benrodis;;0177-9214;;;;SEM;;;;
Acta Biologica Colombiana;Acta Biolo Colomb;0120-548X;;;;SEM;;;;
Acta Biologica Cracoviensia Series Botanica;Acta Biol Crac Ser Bot;0001-5296;;;;SEM;;;;
Acta Biologica Cracoviensia Series Zoologia;;0001-530X;;;;ANN;;;;
Acta Biologica Debrecina;;0567-7327;;;;IRR;;;;
Acta Biologica Debrecina Supplementum Oecologica Hungarica;;0236-8684;;;;IRR;;;;
Acta Biologica Hungarica;Acta Biol Hung;0236-5383;;;;QUA;;;;
Acta Biologica Indica;;2319-1244;;;;SEM;;;;
Acta Biologica Panamensis;;2072-9405;;;;SEM;;;;
Acta Biologica Paranaense;;0301-2123;;;;ANN;;;;
Acta Biologica Silesiana;;0860-2441;;;;IRR;;;;
Acta Biologica Slovenica;Acta Biol Slov;1408-3671;1854-3073;;;IRR;;;;
Acta Biologica Szegediensis;;1588-385X;1588-4082;;;ANN;;;;
Acta Biologica Universitatis Daugavpiliensis;;1407-8953;;;;SEM;;;;
Acta Biologica Venezuelica;;0001-5326;;;;QUA;;;;
Acta Biomaterialia;Acta Biomater;1742-7061;1878-7568;;;MON;;;Elsevier;
Acta Bioquimica Clinica Latinoamericana;;0325-2957;;;;QUA;;;;
Acta Biotheoretica;Acta Biotheor;0001-5342;1572-8358;;;QUA;;;Springer;
Acta Borealia;;0800-3831;1503-111X;;;SEM;;;;
Acta Botanica Boreali-Occidentalia Sinica;Xibei Zhiwu Xuebao;1000-4025;;;;MON;;;;
Acta Botanica Brasilica;;0102-3306;1677-941X;;;QUA;;;;
Acta Botanica Croatica;Acta Bot Croat;0365-0588;1847-8476;;;SEM;;;;
Acta Botanica Fennica;;0001-5369;;;;IRR;;;;
Acta Botanica Gallica;Acta Bot Gallica;1253-8078;;;;QUA;;;;
Acta Botanica Hungarica;Acta Bot Hung;0236-6495;1588-2578;;;QUA;;;;
Acta Botanica Islandica;;0374-5066;;;;IRR;;;;
Acta Botanica Malacitana;;0210-9506;;;;ANN;;;;
Acta Botanica Mexicana;;0187-7151;;;;QUA;;;;
Acta Botanica Venezuelica;Acta Bot. Venez.;0084-5906;;;;IRR;;;;
Acta Cardiologica;Acta Cardiol;0001-5385;1784-973X;;;BIM;;;;
Acta Cardiologica Sinica;;1011-6842;;;;QUA;;;;
Acta Carpathica Occidentalis;;1804-2732;;;;IRR;;;;
Acta Carsologica;;0583-6050;1580-2612;;;TRI;;;;
Acta Chimica Sinica;;0567-7351;;;;MON;;;;
Acta Chimica Slovenica;Acta Chim Slov;1318-0207;1580-3155;;;QUA;;;;
Acta Chiropterologica;Acta Chiropt.;1508-1109;;;;SEM;;;;
Acta Chirurgiae Orthopaedicae Et Traumatologiae Cechoslovaca;Acta Chir Orthop Traumatol Cech;0001-5415;;;;BIM;;;;
Acta Chirurgica Belgica;Acta Chir Belg;0001-5458;;;;BIM;;;;
Acta Chromatographica;;1233-2356;;;;QUA;;;;
Acta Cientifica Venezolana;Acta Cient Venez;0001-5504;;;;QUA;;;;
Acta Cirurgica Brasileira;Acta Cir Bras;0102-8650;1678-2674;;;BIM;;;;
Acta Classica;Acta Cl;0065-1141;;;;ANN;;;;
Acta Clinica Belgica;Acta Clin Belg;1784-3286;2295-3337;;;BIM;;;;
Acta Clinica Croatica;Acta Clin Croat;0353-9466;1333-9451;;;QUA;;;;
Acta Coleopterologica-Munich;;0178-7217;;;;SEM;;;;
Acta Conchyliorum;;0721-1635;;;;IRR;;;;
Acta Crystallographica A-Foundation And Advances;Acta Crystallogr A;0108-7673;1600-5724;;;BIM;;;Wiley;
Acta Crystallographica Section B-Structural Science Crystal Engineering And Materials;;0108-7681;1600-5740;;;BIM;;;Wiley;
Acta Crystallographica Section C-Structural Chemistry;Acta Crystallogr C;0108-2701;1600-5759;;;MON;;;Wiley;
Acta Crystallographica Section D-Biological Crystallography;Acta Crystallogr D Biol Crystallogr;1399-0047;1399-0047;;;MON;;;Wiley;
Acta Crystallographica Section F-Structural Biology Communications;Acta Crystallogr Sect F Struct Biol Cryst Commun;1744-3091;;;;MON;;;Wiley;
Acta Dermato-Venereologica;Acta Derm Venereol;0001-5555;1651-2057;;;BIM;;;;
Acta Dermatovenerologica Croatica;Acta Dermatovenerol Croat;1330-027X;1847-6538;;;QUA;;;;
Acta Diabetologica;Acta Diabetol;0940-5429;1432-5233;;;BIM;;;Springer;
Acta Ecologica Sinica;Sheng Tai Xue Bao;1000-0933;;;;BIM;;;;
Acta Endocrinologica-Bucharest;;1841-0987;;;;QUA;;;;
Acta Entomologica Bulgarica;;1310-5914;;;;IRR;;;;
Acta Entomologica Chilena;;0716-5072;;;;ANN;;;;
Acta Entomologica Musei Nationalis Pragae;Acta Entomol Mus Natl Pragae;0374-1036;1804-6487;;;SEM;;;;
Acta Entomologica Serbica;;0354-9410;;;;SEM;;;;
Acta Entomologica Silesiana;;1230-7777;;;;IRR;;;;
Acta Entomologica Sinica;Kun Chong Xue Bao;0454-6296;;;;MON;;;;
Acta Entomologica Slovenica;;1318-1998;;;;SEM;;;;
Acta Ethologica;Acta Ethol;0873-9749;1437-9546;;;SEM;;;Springer;
Acta Gastro-Enterologica Belgica;;0001-5644;;;;QUA;;;;
Acta Geodaetica Et Geophysica;;2213-5812;2213-5820;;;QUA;;;;
Acta Geodynamica Et Geomaterialia;;1214-9705;;;;QUA;;;;
Acta Geographica Slovenica-Geografski Zbornik;;1581-6613;1581-8314;;;SEM;;;;
Acta Geologica Lilloana;;0567-7513;;;;IRR;;;;
Acta Geologica Polonica;;0001-5709;;;;QUA;;;;
Acta Geologica Sinica-English Edition;;1000-9515;;;;BIM;;;Wiley;
Acta Geologica Slovaca;;1338-0044;;;;SEM;;;;
Acta Geophysica;;1895-6572;1895-7455;;;BIM;;;;
Acta Geoscientia Sinica;;1006-3021;;;;BIM;;;;
Acta Geotechnica;;1861-1125;1861-1133;;;QUA;;;Springer;
Acta Geotechnica Slovenica;;1854-0171;;;;SEM;;;;
Acta Granatense;;1695-6370;;;;SEM;;;;
Acta Haematologica;Acta Haematol;0001-5792;1421-9662;;;BIM;;;;
Acta Haematologica Polonica;Acta Haematol Pol;0001-5814;;;;QUA;;;;
Acta Herpetologica;Acta Herpetol;1827-9635;1827-9643;;;SEM;;;;
Acta Histochemica;Acta Histochem;0065-1281;1618-0372;;;BIM;;;Elsevier;
Acta Histochemica Et Cytochemica;Acta Histochem Cytochem;0044-5991;1347-5800;;;BIM;;;;
Acta Historica Tallinnensia;;1406-2925;1736-7476;;;ANN;;;;
Acta Histriae;;1318-0185;;;;TRI;;;;
Acta Hydrobiologica Sinica;Shui Sheng Sheng Wu Hsueh Bao;1000-3207;;;;IRR;;;;
Acta Ichthyologica Et Piscatoria;;0137-1592;1734-1515;;;QUA;;;;
Acta Informatica;;0001-5903;1432-0525;;;BIM;;;Springer;
Acta Koreana;;1520-7412;;;;SEM;;;;
Acta Limnologica Brasiliensia;;2179-975X;;;;ANN;;;;
Acta Linguistica Hungarica;Acta Linguist Hung;1216-8076;1588-2624;;;QUA;;;;
Acta Literaria;;0717-6848;0716-0909;;;SEM;;;;
Acta Manilana;;0065-1370;;;;ANN;;;;
Acta Materialia;Acta Mater;1359-6454;;;;;;;Elsevier;
Acta Mathematica;;0001-5962;;;;QUA;;;Springer;
Acta Mathematica Hungarica;;0236-5294;1588-2632;;;BIM;;;Springer;
Acta Mathematica Scientia;;0252-9602;;;;BIM;;;Elsevier;
Acta Mathematica Sinica-English Series; English Series;1439-8516;1439-7617;;;MON;;;Springer;
Acta Mathematicae Applicatae Sinica-English Series;Acta Math Appl Sin;0168-9673;1618-3932;;;QUA;;;Springer;
Acta Mechanica;Acta Mech;0001-5970;1619-6937;;;MON;;;Springer;
Acta Mechanica Sinica;Acta Mech Sin;0567-7718;1614-3116;;;BIM;;;Springer;
Acta Mechanica Solida Sinica;;0894-9166;1860-2134;;;BIM;;;Elsevier;
Acta Medica Et Biologica;Acta Med Biol (Niigata);0567-7734;;;;QUA;;;;
Acta Medica Mediterranea;;0393-6384;;;;TRI;;;;
Acta Medica Nagasakiensia;Acta Med Nagasaki;0001-6055;;;;QUA;;;;
Acta Medica Okayama;Acta Med Okayama;0386-300X;;;;BIM;;;;
Acta Medica Portuguesa;Acta Med Port;1646-0758;1646-0758;;;BIM;;;;
Acta Metallurgica Sinica;;0412-1961;;;;MON;;;;
Acta Metallurgica Sinica-English Letters;;1006-7191;;;;BIM;;;;
Acta Microbiologica Et Immunologica Hungarica;Acta Microbiol Immunol Hung;1217-8950;;;;QUA;;;;
Acta Micropalaeontologica Sinica;Wei Ti Gu Sheng Wu Xue Bao;1000-0674;;;;QUA;;;;
Acta Microscopica;;0798-4545;;;;SEM;;;;
Acta Montanistica Slovaca;;1335-1788;;;;QUA;;;;
Acta Morphologica Et Anthropologica;;1311-8773;;;;ANN;;;;
Acta Musaei Neostadeni Bohemiae;;1802-7555;;;;ANN;;;;
Acta Musei Brukenthal;;1842-2691;;;;ANN;;;;
Acta Musei Moraviae Scientiae Biologicae;;1211-8788;;;;ANN;;;;
Acta Musei Moraviae Scientiae Geologicae;;1211-8796;;;;ANN;;;;
Acta Musei Reginaehradecensis Series A Scientiae Naturales;;0439-6812;;;;IRR;;;;
Acta Musicologica;;0001-6241;;;;SEM;;;;
Acta Mycologica;Acta Mycol;0001-625X;;;;SEM;;;;
Acta Naturae;Acta Naturae;2075-8251;;;;QUA;;;;
Acta Naturalia Pannonica;;1788-9413;;;;SEM;;;;
Acta Neurobiologiae Experimentalis;Acta Neurobiol Exp (Wars);0065-1400;1689-0035;;;QUA;;;;
Acta Neurochirurgica;Acta Neurochir (Wien);0001-6268;0942-0940;;;MON;;;Springer;
Acta Neurologica Belgica;Acta Neurol Belg;0300-9009;2240-2993;;;QUA;;;Springer;
Acta Neurologica Scandinavica;Acta Neurol Scand;0001-6314;1600-0404;;;MON;;;Wiley;
Acta Neuropathologica;Acta Neuropathol;0001-6322;1432-0533;;;MON;;;Springer;
Acta Neuropsychiatrica;Acta Neuropsychiatr;1601-5215;1601-5215;;;BIM;;;;
Acta Numerica;;0962-4929;1474-0508;;;ANN;;;;
Acta Obstetricia Et Gynecologica Scandinavica;Acta Obstet Gynecol Scand;0001-6349;1600-0412;;;MON;;;Wiley;
Acta Oceanografica Del Pacifico;;1010-4402;;;;ANN;;;;
Acta Oceanologica Sinica;Hai Yang Xue Bao;0253-505X;;;;BIM;;;Springer;
Acta Odontologica Scandinavica;Acta Odontol Scand;0001-6357;1502-3850;;;BIM;;;;
Acta Oecologica-International Journal Of Ecology;Acta Oecol (Montrouge);1146-609X;1873-6238;;;BIM;;;Elsevier;
Acta Oeconomica;;0001-6373;1588-2659;;;QUA;;;;
Acta Of Bioengineering And Biomechanics;Acta Bioeng Biomech;1509-409X;;;;SEM;;;;
Acta Oncologica;Acta Oncol;0284-186X;1651-226X;;;BIM;;;;
Acta Ophthalmologica;Acta Ophthalmol;1755-375X;1755-3768;;;BIM;;;Wiley;
Acta Orientalia;;1588-2667;0001-6446;;;QUA;;;;
Acta Ornithoecologica;;0233-2914;;;;ANN;;;;
Acta Ornithologica;;0001-6454;;;;SEM;;;;
Acta Orthopaedica;Acta Orthop;1745-3674;1745-3682;;;BIM;;;;
Acta Orthopaedica Belgica;;0001-6462;;;;BIM;;;;
Acta Orthopaedica Et Traumatologica Turcica;Acta Orthop Traumatol Turc;1017-995X;;;;BIM;;;;
Acta Ortopedica Brasileira;Acta Ortop Bras;1413-7852;1809-4406;;;BIM;;;;
Acta Oto-Laryngologica;Acta Otolaryngol;0001-6489;1651-2251;;;MON;;;;
Acta Otorhinolaryngologica Italica;Acta Otorhinolaryngol Ital;0392-100X;1827-675X;;;BIM;;;;
Acta Paediatrica; International Journal Of Paediatrics;0803-5253;1651-2227;;;MON;;;Wiley;
Acta Palaeobotanica;;0001-6594;;;;SEM;;;;
Acta Palaeontologica Polonica;Acta Palaeontol Pol;0567-7920;;;;QUA;;;;
Acta Palaeontologica Romaniae;;1842-371X;;;;SEM;;;;
Acta Palaeontologica Sinica;Gu Sheng Wu Xue Bao;0001-6616;;;;QUA;;;;
Acta Parasitologica;Acta Parasitol;1230-2821;1896-1851;;;QUA;;;;
Acta Parasitologica Et Medica Entomologica Sinica;Ji Sheng Chong Yu Yi Xue Kun Chong Xue Bao;1005-0507;;;;QUA;;;;
Acta Paulista De Enfermagem;;0103-2100;;;;BIM;;;;
Acta Petrologica Sinica;;1000-0569;;;;MON;;;;
Acta Pharmaceutica;Acta Pharm;1330-0075;1846-9558;;;QUA;;;;
Acta Pharmaceutica Hungarica;Acta Pharm Hung;0001-6659;;;;BIM;;;;
Acta Pharmaceutica Sciencia;;1307-2080;;;;TRI;;;;
Acta Pharmaceutica Sinica;;0513-4870;;;;MON;;;;
Acta Pharmacologica Sinica;Acta Pharmacol Sin;1671-4083;1745-7254;;;MON;;;;
Acta Philosophica;;1121-2179;1825-6562;;;SEM;;;;
Acta Physica Polonica A;;0587-4246;1898-794X;;;MON;;;;
Acta Physica Polonica B; Series B.;0587-4254;;;;MON;;;;
Acta Physica Sinica;;1000-3290;;;;;;;;
Acta Physica Slovaca;;0323-0465;1336-040X;;;BIM;;;;
Acta Physico-Chimica Sinica;;1000-6818;1872-1508;;;IRR;;;;
Acta Physiologiae Plantarum;Acta Physiol Plant;0137-5881;;;;BIM;;;Springer;
Acta Physiologica;Acta Physiol (Oxf);1748-1708;1748-1716;;;MON;;;Wiley;
Acta Physiologica Hungarica;Acta Physiol Hung;0231-424X;;;;QUA;;;;
Acta Physiologica Sinica;;0371-0874;;;;BIM;;;;
Acta Phytogeographica Suecica;;0084-5914;;;;SEM;;;;
Acta Phytopathologica Et Entomologica Hungarica;Acta Phytopathol. Entomol. Hung.;0238-1249;;;;SEM;;;;
Acta Phytopathologica Sinica;Zhi Wu Bing Li Xue Bao;0412-0914;;;;BIM;;;;
Acta Phytophylacica Sinica;Zhi Wu Bao Hu Xue Bao;0577-7518;;;;QUA;;;;
Acta Politica;;0001-6810;1741-1416;;;QUA;;;;
Acta Poloniae Historica;Acta Pol Hist;0001-6829;;;;SEM;;;;
Acta Poloniae Pharmaceutica;;0001-6837;;;;QUA;;;;
Acta Polymerica Sinica;;1000-3304;;;;MON;;;;
Acta Polytechnica Hungarica;;1785-8860;;;;QUA;;;;
Acta Protozoologica;Acta Protozool;0065-1583;;;;QUA;;;;
Acta Psychiatrica Scandinavica;Acta Psychiatr Scand;0001-690X;1600-0447;;;MON;;;Wiley;
Acta Psychologica;Acta Psychol (Amst);0001-6918;1873-6297;;;MON;;;Elsevier;
Acta Radiologica;Acta Radiol;0284-1851;1600-0455;;;MON;;;;
Acta Rerum Naturalium;;1801-5972;;;;ANN;;;;
Acta Reumatologica Portuguesa;Acta Reumatol Port;0303-464X;;;;;;;;
Acta Scientiae Veterinariae;Acta Sci Vet;1678-0345;;;;TRI;;;;
Acta Scientiarum Naturalium Universitatis Nankaiensis;Nan Kai Da Xue Xue Bao Zi Ran Ke Xue Ban;0465-7942;;;;QUA;;;;
Acta Scientiarum Naturalium Universitatis Pekinensis;Beijing Da Xue Xue Bao Zi Ran Ke Xue Bao;0479-8023;;;;BIM;;;;
Acta Scientiarum Naturalium Universitatis Sunyatseni;Zhongshan Da Xue Xue Bao Zi Ran Ke Xue Ban;0529-6579;;;;BIM;;;;
Acta Scientiarum Polonorum-Hortorum Cultus; Hortorum Cultus;1644-0692;;;;QUA;;;;
Acta Scientiarum-Agronomy;;1807-8621;1679-9275;;;QUA;;;;
Acta Scientiarum-Animal Sciences;;1807-8672;1806-2636;;;QUA;;;;
Acta Scientiarum-Biological Sciences;;1679-9283;1807-863X;;;QUA;;;;
Acta Scientiarum-Health Sciences;;1679-9291;1807-8648;;;QUA;;;;
Acta Scientiarum-Technology;;1806-2563;1807-8664;;;QUA;;;;
Acta Sedimentologica Sinica;;1000-0550;;;;QUA;;;;
Acta Silvatica & Lignaria Hungarica;;1786-691X;1787-064X;;;ANN;;;;
Acta Societatis Botanicorum Poloniae;Acta Soc. Bot. Pol. Pol. Tow. Bot.;0001-6977;;;;QUA;;;;
